Date,OrderCreatedLocalDateTime,OrderProcessingTime
11/5/2024,2024-11-05T07:01:04.000+0000,4
11/5/2024,2024-11-05T07:02:10.000+0000,84
11/5/2024,2024-11-05T07:03:32.000+0000,33
11/5/2024,2024-11-05T07:04:07.000+0000,55
11/5/2024,2024-11-05T07:04:52.000+0000,78
11/5/2024,2024-11-05T07:05:56.000+0000,17
11/5/2024,2024-11-05T07:07:25.227+0000,3
11/5/2024,2024-11-05T07:07:41.000+0000,16
11/5/2024,2024-11-05T07:09:30.617+0000,5
11/5/2024,2024-11-05T07:09:44.000+0000,34
11/5/2024,2024-11-05T07:10:00.922+0000,15
11/5/2024,2024-11-05T07:10:45.000+0000,27
11/5/2024,2024-11-05T07:11:23.000+0000,42
11/5/2024,2024-11-05T07:11:35.000+0000,23
11/5/2024,2024-11-05T07:13:41.575+0000,28
11/5/2024,2024-11-05T07:13:56.000+0000,46
11/5/2024,2024-11-05T07:14:57.310+0000,40
11/5/2024,2024-11-05T07:15:20.000+0000,29
11/5/2024,2024-11-05T07:16:37.000+0000,66
11/5/2024,2024-11-05T07:16:38.000+0000,91
11/5/2024,2024-11-05T07:18:01.000+0000,28
11/5/2024,2024-11-05T07:19:00.000+0000,11
11/5/2024,2024-11-05T07:20:16.000+0000,56
11/5/2024,2024-11-05T07:20:20.000+0000,9
11/5/2024,2024-11-05T07:21:30.000+0000,29
11/5/2024,2024-11-05T07:21:46.000+0000,23
11/5/2024,2024-11-05T07:22:30.000+0000,20
11/5/2024,2024-11-05T07:22:46.000+0000,34
11/5/2024,2024-11-05T07:22:47.037+0000,46
11/5/2024,2024-11-05T07:23:17.000+0000,47
11/5/2024,2024-11-05T07:25:01.000+0000,127
11/5/2024,2024-11-05T07:28:46.289+0000,7
11/5/2024,2024-11-05T07:29:24.000+0000,12
11/5/2024,2024-11-05T07:29:53.000+0000,72
11/5/2024,2024-11-05T07:30:04.000+0000,113
11/5/2024,2024-11-05T07:30:20.000+0000,146
11/5/2024,2024-11-05T07:31:31.000+0000,130
11/5/2024,2024-11-05T07:31:50.000+0000,158
11/5/2024,2024-11-05T07:32:26.511+0000,164
11/5/2024,2024-11-05T07:33:08.000+0000,31
11/5/2024,2024-11-05T07:33:40.000+0000,119
11/5/2024,2024-11-05T07:34:42.000+0000,26
11/5/2024,2024-11-05T07:35:37.000+0000,43
11/5/2024,2024-11-05T07:36:06.000+0000,21
11/5/2024,2024-11-05T07:36:11.000+0000,80
11/5/2024,2024-11-05T07:36:17.000+0000,136
11/5/2024,2024-11-05T07:36:44.000+0000,116
